,Algorithm,Class Balancing,Train Precision,Train Recall,Train f1,Train Support,Test Precision,Test Recall,Test f1,Test Support
0,Logistic Regression,Random Under Sampling,0.9004745762711864,0.8601217458878384,0.8798357180710121,7721,0.0431355204620547,0.8590673575129534,0.0821463076275175,1930
1,Logistic Regression,Random Over Sampling,0.8979464594140057,0.8587993946025739,0.8779367533068274,1474073,0.0437528191249436,0.8544041450777202,0.0832428885130871,1930
2,Logistic Regression,SMOTE,0.9009861332748328,0.8637150263250192,0.8819569903794999,1474073,0.0450733466276941,0.8549222797927462,0.0856319900355502,1930
3,Logistic Regression,Balanced weight,0.044084005000931,0.8585675430643699,0.0838620305769388,7721,0.0438109407795106,0.8544041450777202,0.0833480755136596,1930
4,Random Forest,Random Under Sampling,1.0,1.0,1.0,7721,0.1995208015682857,0.9492227979274612,0.3297336213102952,1930
5,Random Forest,Random Over Sampling,1.0,1.0,1.0,1474073,0.9316939890710384,0.7067357512953368,0.8037713612256924,1930
6,Random Forest,SMOTE,1.0,1.0,1.0,1474073,0.7755925365607665,0.7968911917098446,0.7860976233069257,1930
7,Random Forest,Balanced weight,1.0,0.9993524154902216,0.9996761028697286,7721,0.961028838659392,0.638860103626943,0.7675070028011204,1930
8,XGBoost,Random Under Sampling,0.9998704663212435,0.9997409661960884,0.9998057120652808,7721,0.1928031077489266,0.9772020725388602,0.3220628415300546,1930
9,XGBoost,Random Over Sampling,0.993546312872056,1.0,0.9967627102082988,1474073,0.4183603562457182,0.9492227979274612,0.5807576478047234,1930
10,XGBoost,SMOTE,0.9987974973294674,0.9990360043227168,0.9989167365892736,1474073,0.7445424988388295,0.8305699481865285,0.7852069556698507,1930
11,XGBoost,Balanced weight,0.4465328783760338,1.0,0.6173836558451943,7721,0.4203132197144173,0.9455958549222798,0.5819515306122449,1930
12,Random Forest (RandomSearch),Random Over Sampling,1.0,1.0,1.0,1474073,0.9304229195088677,0.7067357512953368,0.8032979976442873,1930
13,Random Forest (RandomSearch),SMOTE,1.0,1.0,1.0,1474073,0.7721834496510469,0.8025906735751296,0.7870934959349594,1930
14,XGBoost(post randomsearch),SMOTE,0.9999701492739829,0.9999213064753238,0.9999457272782163,1474073,0.815599173553719,0.8181347150259067,0.8168649767201243,1930
15,XGBoost(post randomsearch v2),SMOTE,0.9999192624249361,0.9998093717203965,0.9998643140532649,1474073,0.8452380952380952,0.8093264248704664,0.8268925357331921,1930
